i,x,A,P,rho,u,p,E,a,M,k
53,5.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3192818126425623e-01,3.3661887562308095e+02,3.3020984584835946e+05,2.8783788730456349e+06,8.7025880244724499e+02,3.8680318392239044e-01,1.2200000000000000e+00
54,5.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3194109956831737e-01,3.3662732168549542e+02,3.3021649436369579e+05,2.8783700018281038e+06,8.7025699600947291e+02,3.8681369208071403e-01,1.2200000000000000e+00
55,5.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3194792303143235e-01,3.3662486194179263e+02,3.3021813304555236e+05,2.8783469812522996e+06,8.7025357374722648e+02,3.8681238675334478e-01,1.2200000000000000e+00
56,5.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3195147242307805e-01,3.3661660970383639e+02,3.3021701682159078e+05,2.8783158379633124e+06,8.7024919956443944e+02,3.8680484839550938e-01,1.2200000000000000e+00
57,5.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3195398262676663e-01,3.3660654779345430e+02,3.3021502835965221e+05,2.8782821449918482e+06,8.7024452610049389e+02,3.8679536348451987e-01,1.2200000000000000e+00
58,5.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3195758617878774e-01,3.3659811850598618e+02,3.3021381088155368e+05,2.8782497905041655e+06,8.7023997425967764e+02,3.8678770047576100e-01,1.2200000000000000e+00
59,5.9000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3196364535545415e-01,3.3659325204914273e+02,3.3021428186850058e+05,2.8782200382857411e+06,8.7023563875014645e+02,3.8678403533618333e-01,1.2200000000000000e+00
60,6.0000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3197118288007872e-01,3.3659008395464969e+02,3.3021561782757298e+05,2.8781904081076384e+06,8.7023123388013516e+02,3.8678235260975624e-01,1.2200000000000000e+00
61,6.1000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3197958244866483e-01,3.3658747536801008e+02,3.3021729126179905e+05,2.8781592784879347e+06,8.7022656871153310e+02,3.8678142850357367e-01,1.2200000000000000e+00
62,6.2000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3198865492712000e-01,3.3658510298904116e+02,3.3021913613942574e+05,2.8781261253121840e+06,8.7022157919648487e+02,3.8678091998112191e-01,1.2200000000000000e+00
63,6.3000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3199836336081574e-01,3.3658296238612610e+02,3.3022111883240164e+05,2.8780908559839954e+06,8.7021625127998811e+02,3.8678082820339338e-01,1.2200000000000000e+00
64,6.4000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3200897870412689e-01,3.3658157148716617e+02,3.3022343082114903e+05,2.8780538441127967e+06,8.7021061568883556e+02,3.8678173469618865e-01,1.2200000000000000e+00
65,6.5000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3202109604124803e-01,3.3658200255458934e+02,3.3022649502466409e+05,2.8780159084161269e+06,8.7020474302002594e+02,3.8678484029688126e-01,1.2200000000000000e+00
66,6.6000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3203441973937404e-01,3.3658390522702013e+02,3.3023006912850158e+05,2.8779764288911689e+06,8.7019855583928847e+02,3.8678977684856292e-01,1.2200000000000000e+00
67,6.7000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3204770786226274e-01,3.3658537576230850e+02,3.3023318913270155e+05,2.8779331150539378e+06,8.7019179972217398e+02,3.8679446975916121e-01,1.2200000000000000e+00
68,6.8000000000000000e+01,9.9999999999999956e-01,3.5449077018110313e+00,5.3205981227016608e-01,3.3658458428978821e+02,3.3023495051157771e+05,2.8778837117815996e+06,8.7018422185568261e+02,3.8679692855383641e-01,1.2200000000000000e+00
