i,x,A,P,rho,u,p,E,a,M,k
16,6.8341708542713564e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6107130430712538e-01,6.8787286857779270e+02,1.5332420597597913e+05,2.9060782680274309e+06,8.4645857320738867e+02,8.1264800233674128e-01,1.2200000000000000e+00
17,7.2613065326633164e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6091860832927305e-01,6.8838881375618996e+02,1.5321206026264041e+05,2.9060418723037867e+06,8.4639651192649171e+02,8.1331716761136119e-01,1.2200000000000000e+00
18,7.6884422110552764e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6076599276618345e-01,6.8890477944757561e+02,1.5309998489961505e+05,2.9060057018032470e+06,8.4633443735643698e+02,8.1398646804376784e-01,1.2200000000000000e+00
19,8.1155778894472352e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6061345100063460e-01,6.8942078714279796e+02,1.5298797510679025e+05,2.9059697560188319e+06,8.4627234705934347e+02,8.1465593143675463e-01,1.2200000000000000e+00
20,8.5427135678391952e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6046098658655764e-01,6.8993682532722107e+02,1.5287603339504215e+05,2.9059340346956956e+06,8.4621024224091445e+02,8.1532554309452254e-01,1.2200000000000000e+00
21,8.9698492462311552e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6030859710092774e-01,6.9045290181857376e+02,1.5276415800814811e+05,2.9058985376808844e+06,8.4614812201011523e+02,8.1599531318267204e-01,1.2200000000000000e+00
22,9.3969849246231152e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6015628355607245e-01,6.9096901327548176e+02,1.5265234965206680e+05,2.9058632648991467e+06,8.4608598670841127e+02,8.1666523749389563e-01,1.2200000000000000e+00
23,9.8241206030150752e-01,9.9999999999999911e-01,3.5449077018110304e+00,2.6000404493108586e-01,6.9148516295835714e+02,1.5254060757784877e+05,2.9058282162636505e+06,8.4602383595249739e+02,8.1733532032208922e-01,1.2200000000000000e+00
24,1.0251256281407035e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5985188136034165e-01,6.9200135037691223e+02,1.5242893186339136e+05,2.9057933916963427e+06,8.4596166977101780e+02,8.1800556113165379e-01,1.2200000000000000e+00
25,1.0678391959798994e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5969979227972761e-01,6.9251757731310818e+02,1.5231732208687899e+05,2.9057587911171620e+06,8.4589948794282179e+02,8.1867596231470774e-01,1.2200000000000000e+00
26,1.1105527638190955e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5954777750954505e-01,6.9303384430110270e+02,1.5220577810162277e+05,2.9057244144487861e+06,8.4583729038374645e+02,8.1934652465686564e-01,1.2200000000000000e+00
27,1.1532663316582914e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5939583662845433e-01,6.9355015266345185e+02,1.5209429958818865e+05,2.9056902616153420e+06,8.4577507692289748e+02,8.2001724996050840e-01,1.2200000000000000e+00
28,1.1959798994974873e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5924396934353933e-01,6.9406650330699324e+02,1.5198288631910732e+05,2.9056563325426439e+06,8.4571284743494834e+02,8.2068813949332886e-01,1.2200000000000000e+00
29,1.2386934673366834e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5909217528138534e-01,6.9458289740303928e+02,1.5187153800945843e+05,2.9056226271585384e+06,8.4565060176540715e+02,8.2135919486488373e-01,1.2200000000000000e+00
30,1.2814070351758793e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5894045411726335e-01,6.9509933596654957e+02,1.5176025440925310e+05,2.9055891453925529e+06,8.4558833977686584e+02,8.2203041748420114e-01,1.2200000000000000e+00
31,1.3241206030150754e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5878880550831773e-01,6.9561582007378433e+02,1.5164903525566560e+05,2.9055558871762375e+06,8.4552606132509413e+02,8.2270180884031774e-01,1.2200000000000000e+00
32,1.3668341708542713e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5863722914156007e-01,6.9613235070566839e+02,1.5153788030734521e+05,2.9055228524428396e+06,8.4546376627626819e+02,8.2337337030029090e-01,1.2200000000000000e+00
33,1.4095477386934672e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5848572471541792e-01,6.9664892880778871e+02,1.5142678933122553e+05,2.9054900411274019e+06,8.4540145450039381e+02,8.2404510318649349e-01,1.2200000000000000e+00
34,1.4522613065326633e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5833429195999191e-01,6.9716555522402757e+02,1.5131576211699814e+05,2.9054574531664513e+06,8.4533912587861835e+02,8.2471700869093933e-01,1.2200000000000000e+00
35,1.4949748743718592e+00,9.9999999999999911e-01,3.5449077018110304e+00,2.5818293063434006e-01,6.9768223070514648e+02,1.5120479847516204e+05,2.9054250884978403e+06,8.4527678030230004e+02,8.2538908788625587e-01,1.2200000000000000e+00
