i,x,A,P,rho,u,p,E,a,M,k
102,4.3567839195979898e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3121962817266766e-01,3.3538627422275101e+02,3.2972430931300140e+05,2.8775738343841396e+06,8.7019852370855881e+02,3.8541351781823568e-01,1.2200000000000000e+00
103,4.3994974874371859e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3120383308353969e-01,3.3536359285082909e+02,3.2971304527823400e+05,2.8775537334149913e+06,8.7019659687899616e+02,3.8538830656615697e-01,1.2200000000000000e+00
104,4.4422110552763820e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3119345197182744e-01,3.3535364907376072e+02,3.2970614143070107e+05,2.8775464590762174e+06,8.7019598932031261e+02,3.8537714858430538e-01,1.2200000000000000e+00
105,4.4849246231155773e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3118395248463768e-01,3.3535181324417067e+02,3.2970014253677608e+05,2.8775449649166628e+06,8.7019585383827155e+02,3.8537509891020094e-01,1.2200000000000000e+00
106,4.5276381909547734e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3117141281347224e-01,3.3535708257805669e+02,3.2969202618190605e+05,2.8775438813956850e+06,8.7019541422148916e+02,3.8538134894457038e-01,1.2200000000000000e+00
107,4.5703517587939695e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3115103170594313e-01,3.3537148679398393e+02,3.2967809445976117e+05,2.8775377461484359e+06,8.7019372307706203e+02,3.8539865078328578e-01,1.2200000000000000e+00
108,4.6130653266331656e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3111532730011646e-01,3.3539886493488592e+02,3.2965262822731020e+05,2.8775186431096485e+06,8.7018936095459242e+02,3.8543204500564732e-01,1.2200000000000000e+00
109,4.6557788944723626e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3105370022673692e-01,3.3544477982061784e+02,3.2960757213977131e+05,2.8774757944238582e+06,8.7018037770447836e+02,3.8548878877907555e-01,1.2200000000000000e+00
110,4.6984924623115578e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3095551874969438e-01,3.3552493349961003e+02,3.2953488033523998e+05,2.8774020618079482e+06,8.7016485940255268e+02,3.8558777670012834e-01,1.2200000000000000e+00
111,4.7412060301507539e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3080684706753001e-01,3.3567172653433221e+02,3.2942403841303609e+05,2.8772923084814334e+06,8.7014033490210613e+02,3.8576734472617735e-01,1.2200000000000000e+00
112,4.7839195979899500e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3058350443364422e-01,3.3593531997820372e+02,3.2925679845062381e+05,2.8771355427596970e+06,8.7010250483197308e+02,3.8608706228592771e-01,1.2200000000000000e+00
113,4.8266331658291461e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.3025642579589882e-01,3.3637087115807583e+02,3.2901122587573272e+05,2.8769167629660075e+06,8.7004617778044133e+02,3.8661266464750793e-01,1.2200000000000000e+00
114,4.8693467336683423e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2980935708704935e-01,3.3700841768110365e+02,3.2867508518613013e+05,2.8766274169144975e+06,8.6996843477470600e+02,3.8738005220658156e-01,1.2200000000000000e+00
115,4.9120603015075375e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2924696834746410e-01,3.3784055515426377e+02,3.2825196899959131e+05,2.8762706737519917e+06,8.6987008531858532e+02,3.8838047296514566e-01,1.2200000000000000e+00
116,4.9547738693467336e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2858953382626539e-01,3.3883379514906125e+02,3.2775725930119696e+05,2.8758589992253939e+06,8.6975472178393090e+02,3.8957396454725557e-01,1.2200000000000000e+00
117,4.9974874371859297e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2786471446524330e-01,3.3994444376542515e+02,3.2721190237549832e+05,2.8754099256816083e+06,8.6962726123235029e+02,3.9090821886573485e-01,1.2200000000000000e+00
118,5.0402010050251258e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2710027978854590e-01,3.4113110274570954e+02,3.2663690329621010e+05,2.8749418238215237e+06,8.6949265316443996e+02,3.9233350794189431e-01,1.2200000000000000e+00
119,5.0829145728643219e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2631855458701016e-01,3.4236281968728645e+02,3.2604913149388169e+05,2.8744702193056233e+06,8.6935488505028923e+02,3.9381249887090924e-01,1.2200000000000000e+00
120,5.1256281407035171e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2553342319058627e-01,3.4362264246262612e+02,3.2545906205133349e+05,2.8740055062081157e+06,8.6921643382234436e+02,3.9532460396722985e-01,1.2200000000000000e+00
121,5.1683417085427132e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2475037559272830e-01,3.4490641236855413e+02,3.2487081441627565e+05,2.8735525618182137e+06,8.6907825737622431e+02,3.9686462000538120e-01,1.2200000000000000e+00
122,5.2110552763819094e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2396880713733029e-01,3.4621722018677048e+02,3.2428389223416708e+05,2.8731115082248072e+06,8.6894019519102176e+02,3.9843618939812137e-01,1.2200000000000000e+00
123,5.2537688442211055e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2318524366414054e-01,3.4755825530742277e+02,3.2369562428020593e+05,2.8726790387768014e+06,8.6880154890975723e+02,4.0004331914873670e-01,1.2200000000000000e+00
124,5.2964824120603016e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2239723212670264e-01,3.4892923684587925e+02,3.2310411254440888e+05,2.8722518370830719e+06,8.6866180225618746e+02,4.0168594490928511e-01,1.2200000000000000e+00
125,5.3391959798994977e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2160536487833120e-01,3.5032485699712140e+02,3.2250977352595597e+05,2.8718285499262647e+06,8.6852101389171708e+02,4.0335795149891235e-01,1.2200000000000000e+00
126,5.3819095477386929e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2081382343009941e-01,3.5173461424072144e+02,3.2191575707400200e+05,2.8714104696615045e+06,8.6837993793200758e+02,4.0504691423244460e-01,1.2200000000000000e+00
127,5.4246231155778890e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.2003012087978173e-01,3.5314346842891138e+02,3.2132774635255145e+05,2.8710014360736893e+06,8.6823997946127952e+02,4.0673486223017258e-01,1.2200000000000000e+00
128,5.4673366834170851e+00,9.9999999999999956e-01,3.5449077018110313e+00,5.1926309634755463e-01,3.5453494893666488e+02,3.2075242289452930e+05,2.8706063734115311e+06,8.6810280358682348e+02,4.0840203196188157e-01,1.2200000000000000e+00
